"ID_rater"	"ID_child"	"age_group"	"accent_response"	"accent_numeric"	"rating_language"	"age_months"	"family"
"175"	"R5"	"013SIN"	"school"	"no"	0	"RU"	86	"bil-rus"
"176"	"R5"	"005IV"	"school"	"no"	0	"RU"	114	"mono-rus"
"177"	"R5"	"010SIN"	"school"	"s"	2	"RU"	102	"bil-rus"
"178"	"R5"	"018SIN"	"school"	"s"	2	"RU"	97	"bil-mixed"
"179"	"R5"	"004IV"	"school"	"no"	0	"RU"	90	"mono-rus"
"180"	"R5"	"040SIN"	"school"	"no"	0	"RU"	110	"bil-mixed"
"181"	"R5"	"007SIN"	"school"	"no"	0	"RU"	110	"bil-rus"
"182"	"R5"	"001IV"	"school"	"no"	0	"RU"	114	"mono-rus"
"183"	"R5"	"048SIN"	"school"	"no"	0	"RU"	100	"bil-rus"
"184"	"R5"	"016SIN"	"school"	"w"	1	"RU"	112	"bil-rus"
"185"	"R5"	"043SIN"	"school"	"no"	0	"RU"	116	"bil-rus"
"186"	"R6"	"010RUS-IV-boy-5"	"preschool"	"no"	0	"RU"	67	"mono-rus"
"187"	"R6"	"Konstantin"	"school"	"s"	2	"RU"	129	"bil-mixed"
"188"	"R6"	"105BER"	"preschool"	"no"	0	"RU"	54	"bil-rus"
"189"	"R6"	"012IV"	"preschool"	"no"	0	"RU"	48	"mono-rus"
"190"	"R6"	"129BER"	"preschool"	"no"	0	"RU"	52	"bil-rus"
"191"	"R6"	"017SIN"	"preschool"	"no"	0	"RU"	79	"bil-rus"
"192"	"R6"	"007IV"	"preschool"	"no"	0	"RU"	61	"mono-rus"
"193"	"R6"	"002SIN"	"preschool"	"w"	1	"RU"	64	"bil-rus"
"194"	"R6"	"003SIN"	"preschool"	"w"	1	"RU"	61	"bil-mixed"
"195"	"R6"	"011IV"	"preschool"	"no"	0	"RU"	65	"mono-rus"
"196"	"R6"	"005SIN"	"preschool"	"w"	1	"RU"	60	"bil-rus"
"197"	"R6"	"014SIN"	"preschool"	"w"	1	"RU"	61	"bil-mixed"
"198"	"R6"	"013IV"	"preschool"	"no"	0	"RU"	56	"mono-rus"
"199"	"R6"	"012SIN"	"preschool"	"no"	0	"RU"	76	"bil-rus"
"200"	"R6"	"015SIN"	"preschool"	"no"	0	"RU"	72	"bil-rus"
"201"	"R6"	"008IV"	"preschool"	"no"	0	"RU"	60	"mono-rus"
"202"	"R6"	"041SIN"	"preschool"	"s"	2	"RU"	76	"bil-mixed"
"203"	"R6"	"101BER"	"preschool"	"no"	0	"RU"	59	"bil-rus"
"204"	"R6"	"009IV"	"preschool"	"w"	1	"RU"	48	"mono-rus"
"205"	"R6"	"102BER"	"preschool"	"s"	2	"RU"	58	"bil-rus"
"206"	"R6"	"042SIN"	"school"	"s"	2	"RU"	85	"bil-rus"
"207"	"R6"	"003IV"	"school"	"w"	1	"RU"	101	"mono-rus"
"208"	"R6"	"008SIN"	"school"	"s"	2	"RU"	100	"bil-rus"
"209"	"R6"	"044SIN"	"school"	"w"	1	"RU"	87	"bil-rus"
"210"	"R6"	"002IV"	"school"	"w"	1	"RU"	91	"mono-rus"
"211"	"R6"	"031SIN"	"school"	"no"	0	"RU"	94	"bil-rus"
"212"	"R6"	"013SIN"	"school"	"no"	0	"RU"	86	"bil-rus"
"213"	"R6"	"005IV"	"school"	"no"	0	"RU"	114	"mono-rus"
"214"	"R6"	"010SIN"	"school"	"w"	1	"RU"	102	"bil-rus"
"215"	"R6"	"018SIN"	"school"	"s"	2	"RU"	97	"bil-mixed"
"216"	"R6"	"004IV"	"school"	"no"	0	"RU"	90	"mono-rus"
"217"	"R6"	"040SIN"	"school"	"no"	0	"RU"	110	"bil-mixed"
"218"	"R6"	"007SIN"	"school"	"no"	0	"RU"	110	"bil-rus"
"219"	"R6"	"001IV"	"school"	"no"	0	"RU"	114	"mono-rus"
"220"	"R6"	"048SIN"	"school"	"s"	2	"RU"	100	"bil-rus"
"221"	"R6"	"016SIN"	"school"	"w"	1	"RU"	112	"bil-rus"
"222"	"R6"	"043SIN"	"school"	"w"	1	"RU"	116	"bil-rus"
"223"	"R7"	"010RUS-IV-boy-5"	"preschool"	"w"	1	"RU"	67	"mono-rus"
"224"	"R7"	"Konstantin"	"school"	"s"	2	"RU"	129	"bil-mixed"
"225"	"R7"	"105BER"	"preschool"	"w"	1	"RU"	54	"bil-rus"
"226"	"R7"	"012IV"	"preschool"	"no"	0	"RU"	48	"mono-rus"
"227"	"R7"	"129BER"	"preschool"	"no"	0	"RU"	52	"bil-rus"
"228"	"R7"	"017SIN"	"preschool"	"w"	1	"RU"	79	"bil-rus"
